ad_name,category,url,reason
"BeautyShot_V1_BNPLEvergreenOffer__IMG_LearnMore_",Windows,"https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/523496745_1079364613787175_8269017604398404187_n.png?stp=dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=890911&_nc_ohc=fZqP45QIgwUQ7kNvwFIo9tp&_nc_oc=AdlhXOt-WUAoVDbmnB74uMU_NJkaSEFJcqbDdW7hiLJ6rfWMXQj7gHCL9EzF95ugvdQ&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=p9aad7N-wF4R7gSflohzdA&oh=00_AfbRJCFRNpJ-fUpV58uPzv6ZDOuQxDdBNvSR-RWsU8nBow&oe=68D8CC65","URL not accessible or returns error"
"BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_",Windows,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/523979476_1523126929096157_2942751529007978992_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=cniEnxNJsVQQ7kNvwHM9BC-&_nc_oc=AdktL0sMjX7YoIsb1KXkMT23_Mh6QjAROp-kmg8CvKKypNi6YmJtgwG1R-BCmHWx-Dk&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=CRPL3v7piZewLVpxtTvdGA&oh=00_AfZGTZr2qd5aaX1eu_ou-kHbaVkt7CvlCLK8_RDi_hvqbg&oe=68C585F5","URL not accessible or returns error"
"BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_lead",Windows,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/520278488_1498898471072834_8140293143246782865_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=3SLqd-5oiXYQ7kNvwGMl7Ox&_nc_oc=AdmJou-EH-8VZz7BGZEaFRAvQi9jNW9TSKCohpo6dx4_nLmXcK8qnKEvS1bYRz1oMrA&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=LfmuArsXQvmCw-cnDWhW1A&oh=00_AfY38k4vH3KPijViOUFFK7eKbvRxxcW3VBVX6qXbVnCocg&oe=68C5A6C1","URL not accessible or returns error"
"BeautyShot_V5_BNPLEvergreenOffer__IMG_LearnMore_",Windows,"https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/523904400_1290901799225290_1547919489652125430_n.png?stp=dst-jpg_tt6&_nc_cat=111&ccb=1-7&_nc_sid=890911&_nc_ohc=cDrCG9T6vXIQ7kNvwF9PWG2&_nc_oc=Adk5pM0mMydVVWnQ29pmT9YMb_M4AuGTS1z-zK5ZR0lWLmQhvDUvsB4WB5gQ3Rh1aD4&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=Og3qoBts8DTArHFzhfDSvA&oh=00_AfalT296xr191AKtQkA2r0JXwakQbeRwrtyvxZ8hU5bn-Q&oe=68C58B76","URL not accessible or returns error"
"BeforeAfter_ClickyNumberWindowsBrand_V2_IMG_LearnMore_",Windows,"https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/524732483_1264960821939673_7939941906664181904_n.png?stp=dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=890911&_nc_ohc=b4_6soTb42cQ7kNvwHOj-5m&_nc_oc=AdlQN--qxsHkhqC-Q_Z0VNUhDt2T2Tp86nlDkUyWwxGs4EOPGG-8LA_dsCrUXOcduts&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=JkGnLhbQlHBed6kV2MV2cw&oh=00_AfasZ1f6eSTmyI0zO9tvtV0cbz_sj1Gq8NS7ZDjLSF47yg&oe=68C4B735","URL not accessible or returns error"
"BeforeAfter_ClickyNumberWindowsBrand_V3_IMG_LearnMore_",Windows,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/524386464_1151834420106796_5722372765798221673_n.png?stp=dst-jpg_tt6&_nc_cat=104&ccb=1-7&_nc_sid=890911&_nc_ohc=MswqV3nVhW8Q7kNvwF9Y-Oo&_nc_oc=AdkszNcUXdcBz_objJe0oAutlbpMOt-LNK2AGqrLCHLgkrITgBfRM6FErQKtJ47aa40&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=wfJLjGhi3tYm5VL3MsQWVw&oh=00_Afb_BW_nwN4hbW966cvzX2o1KGBW8cPhaRT5t8RkzmfeXw&oe=68C49B1D","URL not accessible or returns error"
"BeforeAfter_ClickyNumberWindowsBrand_V4_IMG_LearnMore_",Windows,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/525012496_4116368105284990_84911117734127990_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=R2MvJTNB58wQ7kNvwEGy74B&_nc_oc=Adm8Y6khJAsRN2P5OKNFU69jRmgKd5eJxWdDpKewPtS1JF-mbqLsr7jcgryhmHXlFC0&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=eCYRudWd-1Mui0Y2K_KacA&oh=00_AfaUFM-VUZD--ywroUeLFgblkyojjKK99ZNAZiUHAb8v5A&oe=68C4978D","URL not accessible or returns error"
"Clicky_V1_Cost_HowMuchshouldXActuallyCostin2025_IMG_Square_",Windows,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/517215955_1254814949682199_3402503473777735930_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=890911&_nc_ohc=exIhJQvikksQ7kNvwGNCo3O&_nc_oc=AdmEHkvfn42BMPFtvYPizvz3nq3SgtZUHqcPEnJU13DuA5CxGXsNo_FZ43KS8bc6y_I&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=Kn_wLI1g_ezVVxMgkHWKAA&oh=00_AfY375itnLYNWkJLCmstaMkFRDur6GhQdwk96oF-SEE1gg&oe=68C49CC0","URL not accessible or returns error"
"Greenbar_V1_BNPLEvergreenOffer__IMG_LearnMore_lead",Windows,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/526600589_756025654256665_6416982328926687738_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=GNPFnFAdGcYQ7kNvwGHEzMB&_nc_oc=AdmD6X_NunXbCJ0mEPJihLBOu4ybwff6NcTd61c6M0If1Q1UfILTBeNAi3hdnaUHRXM&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=p9aad7N-wF4R7gSflohzdA&oh=00_Afb82nbQ-kYzhYLM3ha69u9MbSDv_KxuxO1XADVP9_Ta-g&oe=68D8F0B6","URL not accessible or returns error"
"V2_BOGOEvergreenOffer__IMG_LearnMore_lead",Windows,"https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/519575542_1410707270140610_927306813693086663_n.png?stp=dst-jpg_tt6&_nc_cat=100&ccb=1-7&_nc_sid=890911&_nc_ohc=ILnXNYoT_NQQ7kNvwHYWKue&_nc_oc=AdmpFm_zkJfaRTGxuTh0MEFZbuukHMADmxNaMSfCLowGULD0eiSiqRsWR-xkOwE1cR0&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=vmGtE1haL7XtbYsrnM-Kyg&oh=00_AfYwfylgrAEtnHQis_1wakwkSoHPzzUm4i9Uc4zcGk52Ig&oe=68C588B3","URL not accessible or returns error"
"Whiteboard_ClickyStateBrand_Offers_IMG_LearnMore_",Windows,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/512261879_1734031000819861_289641535304417243_n.png?stp=dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=3fAKxcgCkhYQ7kNvwFjxW26&_nc_oc=AdmhyeQqJs_kej_xFuVGZvci4IhRH5GcpQ_99sZ448jDq7uX2GxzmOONRLEusHqkk8o&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=noF-w9YNWFGWnotm3q7Y9Q&oh=00_AfaNXFrwcIPhCfndQDsq3iNeirB7snEnpAlfC2fo1szM8w&oe=68C4B43B","URL not accessible or returns error"
"Whiteboard_ClickyStateBrand_Upgrade_IMG_LearnMore_",Windows,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/513072266_1816381535593356_6792188745186520911_n.png?stp=dst-jpg_tt6&_nc_cat=102&ccb=1-7&_nc_sid=890911&_nc_ohc=jQ-qQo0CkhwQ7kNvwE_t82X&_nc_oc=Admn3Q80pVi2YZe2pjkS06HIu6FWOZGuVNi-Mv28LN69gBMQhCRXT95JXQSQXoIJwCk&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=Q3u44ukLEqbDAJ-ccX7jng&oh=00_AfYm81fTv_Sx5CHyiuvmYWivNd8UVRKq7Z77SvnGidcqYg&oe=68C49E8E","URL not accessible or returns error"
"d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:B&A|f:BOGOBNPLV1",Windows,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/545446815_818145697216340_6599409071113371078_n.png?stp=dst-jpg_tt6&_nc_cat=107&ccb=1-7&_nc_sid=890911&_nc_ohc=1a3n7BcGaXMQ7kNvwGyrgml&_nc_oc=AdlY5bcJrKMvMX834COdgl-v1lwDfxPHWJWGJ4quGHUbiqEwU95mwQyK_yCqSezkWL0&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=es8HgccMdx2_JRUw-BDKtQ&oh=00_AfbI1OVdXoOU-jHd-1eX-QzBgDNpC5p3LmQQa7NXuLmYBg&oe=68D8C6B6","URL not accessible or returns error"
"d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:Issue|f:UkieLLV2",Windows,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/552305593_675160562300125_6651742743633979610_n.png?stp=dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=x3wYL2bNII0Q7kNvwFgSj6z&_nc_oc=Adn7ycydX-Lg1Xsg1tebVWi-Lvnknpzu_tNjkkDwmSYgwOcMI11CoXXlW-yyNYmG9nI&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=vnoS7pLmFXMdrPUgaF8SEA&oh=00_AfaC19TynDFy779gqBgIPxV6RXOvjf351DP2FTBM8W-ccg&oe=68D8F627","URL not accessible or returns error"
"d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V1",Bath,"https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/548560728_24215234428161079_2509574841514937189_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=890911&_nc_ohc=S2vNXr99Ej0Q7kNvwFr0AMa&_nc_oc=AdmU2LQI9mByx8mZLcdeRe0DNxrVFMcCEN6iArc_OpC47o9R3OaPkucKGWePkSk0PAk&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=fwHM9Qd0Rk6plxX0tLmr_A&oh=00_AfbAc6-PTfvXy8uXNazD9da_xJMd4lAr9WYqc4WWXanFiQ&oe=68D8F676","URL not accessible or returns error"
"d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V2",Bath,"https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/547587900_4108063962838094_8633894200957449797_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=890911&_nc_ohc=z3v_NflKIL8Q7kNvwFcjJfa&_nc_oc=AdncT8QHjSM_Mp-baK9bhsr6bN8-hXXGW6wafC8NppPHPZPBroEXnwBBx1-Tdxcm1VA&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=fwHM9Qd0Rk6plxX0tLmr_A&oh=00_AfYIWBbewZc_0VvMw6sFI4Lkz95CAZ847tICdIe_iIuf_A&oe=68D8E6E0","URL not accessible or returns error"
"d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V3",Bath,"https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/548024953_1495713624784334_5564801142069949133_n.png?stp=dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=890911&_nc_ohc=NUH6m1K9qWkQ7kNvwECfrfB&_nc_oc=Adl-7s9RU0t6KbyREiWPN11DLZbqAM1-qgcWZN_xMvwPCwfCOc9uYzfwmBngIRwWL7A&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=fwHM9Qd0Rk6plxX0tLmr_A&oh=00_AfabPZK0c5CttvCmTo1FbWvE2UXPsqEJpD2EkTdDQqmTIw&oe=68D8EC37","URL not accessible or returns error"
"d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:BeforeAfter|f:90s - Copy",Bath,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/528223355_1095196645334610_8184373223283995777_n.png?stp=dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=p9cWLNgcpz4Q7kNvwHBsVjL&_nc_oc=Adn1IFflAwCK6mCjMr_AovWtSYld-aFGchPpbivc0i5v-zNS2KSw3ol7ylzCfU0dOTQ&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=F0uSAMGtDzjaZAnUxKuVwA&oh=00_AfYUew2N3WHZADpAryIb1YPkpuLlH_s3ksi9BGLcMR1EhA&oe=68D8C64B","URL not accessible or returns error"
"d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:FloorplanShowerLargeV2",Bath,"https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/529419575_1366511574447477_6094968126788840509_n.png?stp=dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=890911&_nc_ohc=onNDJDC_95MQ7kNvwHw3bYE&_nc_oc=AdmpFUIfxQkP2eduhqtlt_75qAfvo317qjP2u1zj2-4dXO5GL2wpxQAyiDpmrnOVbk8&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=_ASt1za-WleVhyZm7U7E9Q&oh=00_AfYniCLYjBHLGRZk0x1HLm6PxmkukopX_6fHgbR81IoCUA&oe=68C592F4","URL not accessible or returns error"
"d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Bathroom1",Bath,"https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/550815877_1553647395801779_2896539280966632037_n.png?stp=dst-jpg_tt6&_nc_cat=100&ccb=1-7&_nc_sid=890911&_nc_ohc=aLw_cujbNCUQ7kNvwHStNNa&_nc_oc=AdkJnv52wa-XKwx2k0Q0wX5om5Uu8fcYxo4DcO5XkcL9O5pNqpsrZ9uOY5bmk9SEfgs&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=fwHM9Qd0Rk6plxX0tLmr_A&oh=00_AfbT7p21zlwZ_2shuSNbmON-8eGue2a-sxaNQD1K_m57UA&oe=68D8ECC9","URL not accessible or returns error"
"d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Vanity1",Bath,"https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/550510336_1285929012716867_2153585021530965246_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=MKn1DBpdoxUQ7kNvwG3JWcz&_nc_oc=AdktqxcwYR5xuUjJ1MV8QdFxR1R4qUl2tIMRDA0dfzq6M_5figodE_EpbyaBaQIroek&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=F0uSAMGtDzjaZAnUxKuVwA&oh=00_AfbXthjy6C1gEBaEHWbXmc6v7nR7_KkgucI8X7cbIIGeKg&oe=68D8D6C4","URL not accessible or returns error"
"d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:TextImage|f:Testimonial2",Bath,"https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/551310768_1806889063237933_5320128613702781919_n.png?stp=dst-jpg_tt6&_nc_cat=111&ccb=1-7&_nc_sid=890911&_nc_ohc=JWYgmeKTXxEQ7kNvwGosbKj&_nc_oc=Adk3EC-tU76fvagqqQJNcu6i-ekaE0-Ey90fVrWrKflA6WpIm2544oId8wGYqoboi30&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=fwHM9Qd0Rk6plxX0tLmr_A&oh=00_Afbr3mvbuv35TbLmqxWN31L-NWW3d9xwH_t4Tzm1wxcGgA&oe=68D8E12D","URL not accessible or returns error"
