Concepts,ad_name,SUM of spend,SUM of matched_leads,SUM of booked_appts,SUM of hs_rev,BAR,ROAS,# of Adsets,URL
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Shower,942.61,4,0,494.52,0%,0.52,11,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/529219145_692589090478952_7852948240838633511_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c02adf&_nc_ohc=fTutZ4RfiNcQ7kNvwEAy53o&_nc_oc=Adl9tebyzzavBIEEmWtyA9BnYU_9cCbB25aGEzeUNQuTEu2BSaVY80YT9quFB6zBSCBmDUViMZYMXiiwwVvrW8DV&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&_nc_gid=xs2wTJItAASZ90hXQFiGuQ&oh=00_AfZBHZ_H_VJ5Bu4JyCV18IDxQMsYc6HYo-ZSKI_UUZCOKg&oe=68DCBD9D
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:ShowerCost,66358.77,1010,115,96249.4,11%,1.45,10,https://scontent.fcae1-1.fna.fbcdn.net/v/t45.1600-4/528823968_730529349604778_2029276002562275859_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c02adf&_nc_ohc=iTJ7ZSrESzEQ7kNvwFSOpBc&_nc_oc=Admsuc8g0Kqj0BhaIBJkuEM4y43MXI7QRJqOMAOenB_13-DHtI_-QinYMoeRKmxIn3E&_nc_zt=1&_nc_ht=scontent.fcae1-1.fna&_nc_gid=VA7kgNvZqV0rnSSfAiHXEQ&oh=00_AfY_2yqfd5Hu7duh_D6q9d0--tgA7oIiQkLu5EswqFe6ww&oe=68E088BC
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Upgrade,989.01,3,1,365.8,33%,0.37,11,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/528674867_1137979371478670_160385410385575858_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c02adf&_nc_ohc=_2T16eQAwKMQ7kNvwHjZ6mK&_nc_oc=Adnma2ZpubAvhAm7t98G--17p99v1Z-5F2O5gH123zukQwqh-_qDAlr6HFMv1zmBSClF5ROqbB60MGLp2ZZRQEak&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&_nc_gid=VvFqcAVKPDP1pjo7wBocGA&oh=00_AfatKKIa6oSL3ZAfxFS81nICBABUAXHzZVtbVVn5o0UKjQ&oe=68DCEB8E
Grid Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Bathroom1,586.64,0,0,3.85,0%,0.01,1,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/557624287_1444423746671351_9071239366414944437_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c02adf&_nc_ohc=HBUzs3FCvJsQ7kNvwFZLiJe&_nc_oc=AdkmfWOG1GZiotnI9uwQpHoAwY-fjpfLZ9Z6vJBN7yLlTOKuPyAZvKuUX96R2grlstgY9WRiIzzZR-b8fS5ihy1E&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&_nc_gid=OHaOv2fmMlPy2Mu6SLlr0w&oh=00_AfYDCif4zD9cbFDhd-cPkKywgtDh6KwJo-lFc_TCvrIkoQ&oe=68E2F79C
Grid Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Shower1,1008.34,4,0,349.7,0%,0.35,1,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/550791783_1350969839953208_9214164086966686054_n.png?stp=dst-jpg_tt6&_nc_cat=101&ccb=1-7&_nc_sid=890911&_nc_ohc=6Yx7Ta09CZ0Q7kNvwE7mOLi&_nc_oc=AdkuJfJ10KM8ueDzVqGUB_TdrF_6QedQhC602i3xbokuTNUNjqdKzgrH37eJPnQdMsA&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=2WVtUDfjfq7exmXee2MiNw&oh=00_AfYrRwmDPwbiNGZdhY0aNTraYV4UAGrZmxFfBUe5cPIJCw&oe=68DFE52D
Grid Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Vanity1,1402.56,6,0,676.87,0%,0.48,1,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/550510336_1285929012716867_2153585021530965246_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=bhWut2CMAjkQ7kNvwH0nlDs&_nc_oc=AdkMTI0ZGlkoHlSVS5NidWSCVqqYkcj8USLcpDzvKpFXmbQrEyWXlaRz8kQCw3fWDuE&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=2WVtUDfjfq7exmXee2MiNw&oh=00_AfZDzM-j9ii5u42WfeIJ9ZdN4Z5Xa0J5PyfKT29EAtkeRQ&oe=68DFDEC4
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:NetworxLux|f:Journey7,1180.1,9,3,813.54,33%,0.69,1,https://scontent.fcae1-1.fna.fbcdn.net/v/t45.1600-4/551491820_649263694906473_5568059005507392706_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=110&ccb=1-7&_nc_sid=c02adf&_nc_ohc=vFEa1vB5ZfUQ7kNvwGuMKz9&_nc_oc=Adnr0xUpFl3BebtpgWBCbTKOC_k-_KWGArk1b6kPE6O-0Dpy5RHpv2wlbMujx3-tAzY&_nc_zt=1&_nc_ht=scontent.fcae1-1.fna&_nc_gid=SdRVk6W13VJUWHeHi6MdZA&oh=00_AfZ82PdY8yJCGHZzdhE8TVCsV5pkx5M1eGxajejwMU3NFw&oe=68E0934C
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:Affordability,2500.68,17,6,1477.67,35%,0.59,11,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/528074090_2184074852037851_3930227872724332617_n.png?stp=cp0_dst-jpg_q90_s640x640_spS444_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c02adf&_nc_ohc=C4D2D1MOA1cQ7kNvwGTQ0tU&_nc_oc=AdmbYQsCtxEzYfuFTw6EURpXdKwPzjQgdxoI6PnsqkhmIzZxuJFajn2OlX3imzXryLzvgdzttyt40QsC3Ay1xVmh&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&_nc_gid=SrPt4XanYqoouBI8GrsKZA&oh=00_AfYAyPnnDQ_g_JBL1DFUQ3XowABshe596PQilaW9vBXNnQ&oe=68DCC76C
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:BathCost,10037.9,80,14,8988.7,18%,0.9,11,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/528712658_1507866240560802_2554600691766062330_n.png?stp=cp0_dst-jpg_q90_s640x640_spS444_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c02adf&_nc_ohc=XQReB2rxIAQQ7kNvwFlCSZ6&_nc_oc=Adm7pLcnaMCcrLEYG814StryyK7jTqfjbkjhZP4LiOIKilAf7JW81r7-1TpMXM-NcPPra6YyOyn6YkRCoWdzLPsK&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&_nc_gid=_1MN4UJXw8nThOjjG4F3lw&oh=00_AfY8AjZO3SMiMXdhqMoxaPTBNyb5SSxLTsDZVxFANIRUUg&oe=68DCBF64
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:OneDay,703.13,3,0,323.35,0%,0.46,11,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/528535422_730221653127574_4315436508949587785_n.png?stp=cp0_dst-jpg_q90_s640x640_spS444_tt6&_nc_cat=108&ccb=1-7&_nc_sid=c02adf&_nc_ohc=E7eXvs3us9wQ7kNvwG-d1QL&_nc_oc=AdmZl9nkU2BARbUZpNDlTbSjmVAHIIH5ELoe6FrDB3v3JWHI-b7AJYgXhXVIJi8e84YMvJLjD75Uo4G69CcgkbvB&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&_nc_gid=7rpNnl_ONTeZ4zXHn1GGXA&oh=00_AfYz54nDLKkc3DsybsU6ZpOn2lQ5OynFfoGDdDSQ34W90Q&oe=68E2EBC2
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:ShowerCost,42287.01,488,83,50099.1,17%,1.18,8,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/528468779_1651930792156184_3754368490930399396_n.png?stp=cp0_dst-jpg_q90_s640x640_spS444_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c02adf&_nc_ohc=0kCLufMpkbgQ7kNvwHrglne&_nc_oc=Adl9iwxiIPyuQYjhNY1vqpH51QdEtuaFO1g2x1kVB3DR6J4vnm8XiM1slh7ey7xkUsRCs1X8IFYL53LuxlnaRz_u&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&_nc_gid=GOjCwmx3W4m38ZTKi_AggA&oh=00_AfbBgHacpy67Z26sAwsPKP6C2dKif4H3ynvH0N-3GkiW1Q&oe=68DCB43C
Text Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:TextImage|f:Testimonial2,990.49,1,0,340.6,0%,0.34,1,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/551310768_1806889063237933_5320128613702781919_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c02adf&_nc_ohc=CQP8eFxZ_uQQ7kNvwGYmkAT&_nc_oc=AdmJP-86Y_kJG4cRqMZJHzSIKgw-uKoYRWBSKL_g4w3Z5g8sPoOFwwNeiskDJCvoegmqJLbYkcX4hTXa85o6rlWE&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&_nc_gid=qF1mFgRX__bBr_Lb1DQvPQ&oh=00_AfbIt207QPHfjW_iatdqshDbWc4dyzwwawgMsc2MpX3Aqw&oe=68E2C46D
Text Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:TextOver|f:VanitySimple,515.07,3,0,249.39,0%,0.48,9,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/528231556_1061222696223998_1972536243754620956_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c02adf&_nc_ohc=T6Depa3szHAQ7kNvwGSV-fh&_nc_oc=AdmlvsWOGYEEcCTRcTQFNQMN20jUZ4oTJ2VSv_BtKaYn1KW-V6iwStwTEFSkX2UoYi_cyTMFeqV-Wuy-i_kFw2mb&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&_nc_gid=OTHbPnDFZiT05b3c8c5OiA&oh=00_AfZ9iMqONRGLHQdSFFr5xYF9Kf3305rgu_i7BDpMoGHQKA&oe=68DCBDC7
Clicky Videos,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Video|st:BathPicker|f:V3,2786.9,13,1,1549.52,8%,0.56,1,https://video-iad3-1.xx.fbcdn.net/o1/v/t2/f2/m366/AQPNPZgbuRZ-U6ZVhCdvTXZydsC9LsM43wVfX1IHddfXFQkWNQf-nTlZaQdHUMrcr8NmOs3Zq90cImIy_t55BlTd65HNGjFURzlLo-AimOSXRA.mp4?_nc_cat=109&_nc_sid=5e9851&_nc_ht=video-iad3-1.xx.fbcdn.net&_nc_ohc=wQ20Q_he_WcQ7kNvwHdP_Zu&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzNlLjcyMC5kYXNoX2gyNjQtYmFzaWMtZ2VuMl83MjBwIiwieHB2X2Fzc2V0X2lkIjo3MjYzNTE3NTM3OTIwMDEsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjoxMCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=72c4ef853c5476d9&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9EMzQ0RjlCMTUxOUI1Q0NBQTM4NkUxREM2RTA1RTY4Ml9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhFZmJfZXBoZW1lcmFsL0FCNDg0OTgzODNCRjdDNURFNEQ2MENEMjQxMUJFOEE1X210XzBfYXVkaW9fZGFzaGluaXQubXA0FQICyAESACgAGAAbAogHdXNlX29pbAExEnByb2dyZXNzaXZlX3JlY2lwZQExFQAAJoKooqSep8oCFQIoA0MzZSwXQCUhysCDEm8YGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUCZd6oAQA&_nc_gid=RQUOkpTrZSed5sbABqV6Iw&edm=APRAPSkEAAAA&_nc_zt=28&_nc_tpa=Q5bMBQFXpVI_OZlEuGRT91FPZ_b6jeHrIQVGHIMWcY0aIjR0OWqtzxmjt6_nXbaNInjTwWbciN0yTUHfEg&oh=00_Afboejb6pbjdL9gftYoDUDnCVbge8faQXW2OuXgw6w_Evg&oe=68DFE323&bitrate=2158384&tag=dash_h264-basic-gen2_720p
Clicky Videos,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Video|st:BathPicker|f:V4,529.57,2,1,269.46,50%,0.51,1,https://video-iad3-1.xx.fbcdn.net/o1/v/t2/f2/m366/AQMYJLptYxtXMrHKKtQa-xY4LGhywVE3o1xagG9ewH0nE_gVrTIIJ-oXbu08lEVtRusp5GhHAq7zRALvlPXUCqWVvVS1uzoPiPlXTkMrr8LSlg.mp4?_nc_cat=101&_nc_sid=5e9851&_nc_ht=video-iad3-1.xx.fbcdn.net&_nc_ohc=j2h4-UmIVckQ7kNvwEEePuF&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzNlLjcyMC5kYXNoX2gyNjQtYmFzaWMtZ2VuMl83MjBwIiwieHB2X2Fzc2V0X2lkIjoxMjczMzg5Mzg3ODAxODU3LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=ff0c10159c3d60f&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9CNDRDNjc3NkIwQkZDODJCMENBQkU5NDQwQ0RBOEE4Q19tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhFZmJfZXBoZW1lcmFsLzgyNEM4MzMwMTQ5NTUxM0U3NzlBMzJCMEU3MzI0MUJFX210XzBfYXVkaW9fZGFzaGluaXQubXA0FQICyAESACgAGAAbAogHdXNlX29pbAExEnByb2dyZXNzaXZlX3JlY2lwZQExFQAAJoKU96GCicMEFQIoA0MzZSwXQCUhysCDEm8YGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUCZd6oAQA&_nc_gid=RQUOkpTrZSed5sbABqV6Iw&edm=APRAPSkEAAAA&_nc_zt=28&_nc_tpa=Q5bMBQHcRMFyBmu7kyuIH11EVqzHNH8PJWICCFNCqtw_lV2TYHfYWgnGOl_dO6TgRyrbUhCCtQEgHC-ybg&oh=00_AfZvvt22QVpoWYqImu7ZNaE3aAiuRvPFEjesu7ZCqzaESw&oe=68DFE1E3&bitrate=1714900&tag=dash_h264-basic-gen2_720p