ad_name,8/18,8/25,9/1,9/8,9/15,9/22
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:TextOver|f:VanitySimple,0,0,0,0.58,0,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:Affordability,1.48,0,0.67,0.52,0.63,0.26
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:PersonShower,2.86,0,0.63,0.5,0,0.27
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Upgrade,0.11,0,1.5,0.22,0,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:Affordability,0.49,0.24,0.32,0.69,2.68,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:ShowerCost,1.52,1.37,1.31,1.22,1.44,1.4
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:ShowerCost,1.41,1.24,0.92,0.84,1.32,1.01
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:RemodelCostV2,0.81,0.55,0.89,1.11,1.48,0.98
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:BathCost,0.64,0.66,1.07,0.77,1.04,1.58
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Shower,0,0,0,0.61,1.19,0.47
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:OneDay,0.05,0,0.55,0.45,0,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:SqftShowerLargeV2,0.62,3.14,0,2.06,0,0.82
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:OneDay,0.81,0.45,0,0,0,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:OneDay,2.51,1.77,0,0.13,0.18,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Bathroom1,0,0,0,0,0,0.01
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Shower1,0,0,0,0,0,0.35
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:Cleobathra,0.95,0.51,0.27,0.36,0,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:Upgrade,0.97,0.22,0,0.56,7.93,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:SqftShowerSmallV2,0,0,0,0,0,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:FloorplanShowerLargeV2,1.37,0,0,0,8.17,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V1,0,0,0,0,0.15,0.27
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:NetworxLux|f:Journey7,0,0,0,0,0,0.69
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:#Showers,4.26,1.33,0.22,0.47,0,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:BeforeAfter|f:BathroomV1,0.81,0,0.33,0,0,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V2,0,0,0,0,0.34,1
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:TextImage|f:Testimonial2,0,0,0,0,0,0.34
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Vanity1,0,0,0,0,0,0.48
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Video|st:BathPicker|f:V3,0,0,0,0,0.58,0.29
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Video|st:BathPicker|f:V4,0,0,0,0,0.51,0
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V3,0,0,0,0,0.56,0.45
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:BeforeAfter|f:90s - Copy,0.44,0,0,0,0,0