,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,4,,,,,,,,,,,,,,,,,,,,,,
Category,Ad Name,Concept,Headline,Problem,Solution,Offer Style,CTA Text,CTA Position,Social Proof,Emotion,Brand,Urgency,Contrast,Color,Human Presence,Headline Number,% Sign,$ Sign,FREE,impressions,clicks,spend,leads,matched_leads,booked_appts,issued_appts,net_sales,partner_rev,hs_revenue,roas,nmc,bar,creative_url,ad_id,creative_type,view_leads,video_views,p_95_video_views,partner_matched_leads,partner_booked_appts,Concepts+Problem+Color,Concepts+Headline+CTAText,Concepts+Headline,Problem+Headline+CTA,Concepts+Brand,High ROAS & High BAR,High ROAS & Low BAR,Low ROAS & High BAR,Low ROAS & Low BAR,Quadrants,Champion Ads,CM Only Ads,Quality Ads Only,Loser Ads
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V1,Promos & Offers,how much should a bathroom cost?,Cost/Price,Affordability,None,Find Your Cost,Bottom Left,None,Curiosity/Exploratory,No Logo,None,High,Cool,,,,,,3963,75,782.43,7,6,0,0,0,0,128.47,0.164193602,0,0,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/548560728_24215234428161079_2509574841514937189_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=890911&_nc_ohc=S2vNXr99Ej0Q7kNvwFr0AMa&_nc_oc=AdmU2LQI9mByx8mZLcdeRe0DNxrVFMcCEN6iArc_OpC47o9R3OaPkucKGWePkSk0PAk&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=fwHM9Qd0Rk6plxX0tLmr_A&oh=00_AfbAc6-PTfvXy8uXNazD9da_xJMd4lAr9WYqc4WWXanFiQ&oe=68D8F676,120230934425200408,IMG,0,0,0,0,0,Promos & Offers+Cost/Price+Cool,Promos & Offers+how much should a bathroom cost?+Find Your Cost,Promos & Offers+how much should a bathroom cost?,Cost/Price+how much should a bathroom cost?+Find Your Cost,Promos & Offers+No Logo,0,0,0,1,Low ROAS & Low BAR,Other,Other,Other,Low ROAS & Low BAR
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V2,Promos & Offers,how much should a bathroom cost?,Cost/Price,Affordability,None,Find Your Cost,Bottom Left,None,Cool/None,No Logo,None,Mid,Cool,,,,,,11694,201,1481.34,18,12,0,0,0,0,657.11,0.443591613,0,0,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/547587900_4108063962838094_8633894200957449797_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=890911&_nc_ohc=z3v_NflKIL8Q7kNvwFcjJfa&_nc_oc=AdncT8QHjSM_Mp-baK9bhsr6bN8-hXXGW6wafC8NppPHPZPBroEXnwBBx1-Tdxcm1VA&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=fwHM9Qd0Rk6plxX0tLmr_A&oh=00_AfYIWBbewZc_0VvMw6sFI4Lkz95CAZ847tICdIe_iIuf_A&oe=68D8E6E0,120230934533500408,IMG,0,0,0,1,0,Promos & Offers+Cost/Price+Cool,Promos & Offers+how much should a bathroom cost?+Find Your Cost,Promos & Offers+how much should a bathroom cost?,Cost/Price+how much should a bathroom cost?+Find Your Cost,Promos & Offers+No Logo,0,0,0,1,Low ROAS & Low BAR,Other,Other,Other,Low ROAS & Low BAR
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V3,Promos & Offers,how much should a bathroom cost?,Cost/Price,Affordability,None,Find Your Cost,Bottom Left,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,,,,,,7920,222,1275.51,26,19,0,0,0,0,731.38,0.5734020117,0,0,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/548024953_1495713624784334_5564801142069949133_n.png?stp=dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=890911&_nc_ohc=NUH6m1K9qWkQ7kNvwECfrfB&_nc_oc=Adl-7s9RU0t6KbyREiWPN11DLZbqAM1-qgcWZN_xMvwPCwfCOc9uYzfwmBngIRwWL7A&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=fwHM9Qd0Rk6plxX0tLmr_A&oh=00_AfabPZK0c5CttvCmTo1FbWvE2UXPsqEJpD2EkTdDQqmTIw&oe=68D8EC37,120230934583180408,IMG,1,0,0,5,0,Promos & Offers+Cost/Price+Cool,Promos & Offers+how much should a bathroom cost?+Find Your Cost,Promos & Offers+how much should a bathroom cost?,Cost/Price+how much should a bathroom cost?+Find Your Cost,Promos & Offers+No Logo,0,1,0,0,High ROAS & Low BAR,Other,High ROAS & Low BAR,Other,Other
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:BeforeAfter|f:90s - Copy,BEAF Images,not everything was better in the 90s maybe its time for an upgrade,Outdated  ,Beauty/Modernization,None,Ready to join the 21st Century? How many bathrooms do you need to remodel?,Center Overlay,None,Pride/Home Upgrade,No Logo,None,High,Cool,,,,,,6112,172,1084.32,11,10,1,0,0,0,499.25,0.4604268113,0,10,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/528223355_1095196645334610_8184373223283995777_n.png?stp=dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=p9cWLNgcpz4Q7kNvwHBsVjL&_nc_oc=Adn1IFflAwCK6mCjMr_AovWtSYld-aFGchPpbivc0i5v-zNS2KSw3ol7ylzCfU0dOTQ&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=F0uSAMGtDzjaZAnUxKuVwA&oh=00_AfYUew2N3WHZADpAryIb1YPkpuLlH_s3ksi9BGLcMR1EhA&oe=68D8C64B,120229533536480408,IMG,0,0,0,4,1,BEAF Images+Outdated  +Cool,BEAF Images+not everything was better in the 90s maybe its time for an upgrade+Ready to join the 21st Century? How many bathrooms do you need to remodel?,BEAF Images+not everything was better in the 90s maybe its time for an upgrade,Outdated  +not everything was better in the 90s maybe its time for an upgrade+Ready to join the 21st Century? How many bathrooms do you need to remodel?,BEAF Images+No Logo,0,0,1,0,Low ROAS & High BAR,Other,Other,Low ROAS & High BAR,Other
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:BeforeAfter|f:BathroomV1,BEAF Images,ready to remodel your bathroom?,Outdated  ,Beauty/Modernization,None,tap the number of bathrooms you need to upgrade,Center Overlay,None,Pride/Home Upgrade,No Logo,None,High,Cool,,,,,,25816,718,3960.79,88,77,1,1,1,15436,3260.68,0.8232398082,0.2112386629,1.298701299,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/528602946_657154810744043_8666428234305348268_n.png?stp=dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=890911&_nc_ohc=7Fcb75ys4XwQ7kNvwGbVrKD&_nc_oc=Admio9OXk28q0hbxz0esIGCaeFeuohlCpzGpN2q_ruzXOZk7S3UV4hvwg-n7YH8J2Iw&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=bynu8cb65zu4ZkcEN-lsaQ&oh=00_AfepBk4gRzGdGJCJBMxyNBgfAywP3jR1t_XAOStF_ACung&oe=68ED3A34,120231642778910408,IMG,0,0,0,24,1,BEAF Images+Outdated  +Cool,BEAF Images+ready to remodel your bathroom?+tap the number of bathrooms you need to upgrade,BEAF Images+ready to remodel your bathroom?,Outdated  +ready to remodel your bathroom?+tap the number of bathrooms you need to upgrade,BEAF Images+No Logo,0,1,0,0,High ROAS & Low BAR,Other,High ROAS & Low BAR,Other,Other
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:#Showers,Clicky Images,need a bathroom remodel? we've got you!,Outdated  ,Beauty/Modernization,None,HOW MANY BATHROOMS DO YOU NEED REMODELED?,Center Overlay,None,Pride/Home Upgrade,Subtle Logo,None,High,Warm,,,,,,7644,165,923.2,22,14,0,0,0,0,502.86,0.5446923744,0,0,https://scontent-ord5-1.xx.fbcdn.net/v/t45.1600-4/528053927_667707079661224_8049850909094681134_n.png?stp=dst-jpg_tt6&_nc_cat=101&ccb=1-7&_nc_sid=890911&_nc_ohc=ojWgPys9BuEQ7kNvwHPdsCF&_nc_oc=AdlUAk3ipDpXeDXZGYzDmpuVP1C8c4ewfvEpV5cNXdVxXnyWhtdBmJjGFWPg_zjUYFU&_nc_zt=1&_nc_ht=scontent-ord5-1.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_Afdk6UT1y6kvwv2olv4WduzLOBuCgKV9rlzK0oKRVBGkdQ&oe=68ED2FAA,120231642779650408,IMG,0,0,0,5,0,Clicky Images+Outdated  +Warm,Clicky Images+need a bathroom remodel? we've got you!+HOW MANY BATHROOMS DO YOU NEED REMODELED?,Clicky Images+need a bathroom remodel? we've got you!,Outdated  +need a bathroom remodel? we've got you!+HOW MANY BATHROOMS DO YOU NEED REMODELED?,Clicky Images+Subtle Logo,0,1,0,0,High ROAS & Low BAR,Other,High ROAS & Low BAR,Other,Other
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:Cleobathra,Clicky Images,in de-nile about the state of your current bathtub? let us help give you a royal upgrade!,Outdated  ,Beauty/Modernization,None,Click Here for Your Free Custom Bath Remodel Quote Today!!!,Bottom Center,None,Pride/Home Upgrade,No Logo,None,High,Warm,,,,,,39405,748,1645.68,18,13,2,1,0,0,668.1,0.4059719994,0,15.38461538,,120231642778920408,IMG,0,0,0,5,2,Clicky Images+Outdated  +Warm,Clicky Images+in de-nile about the state of your current bathtub? let us help give you a royal upgrade!+Click Here for Your Free Custom Bath Remodel Quote Today!!!,Clicky Images+in de-nile about the state of your current bathtub? let us help give you a royal upgrade!,Outdated  +in de-nile about the state of your current bathtub? let us help give you a royal upgrade!+Click Here for Your Free Custom Bath Remodel Quote Today!!!,Clicky Images+No Logo,0,0,1,0,Low ROAS & High BAR,Other,Other,Low ROAS & High BAR,Other
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:FloorplanShowerLargeV2,Clicky Images,here's what a bathroom remodel should cost you in 2025,Cost/Price,Affordability,None,Claim your FREE quote today!,Bottom Center,None,Curiosity/Exploratory,No Logo,None,High,Cool,,,,,,8626,178,818.13,21,21,1,1,0,0,854.45,1.044393923,0,4.761904762,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/529419575_1366511574447477_6094968126788840509_n.png?stp=dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=890911&_nc_ohc=onNDJDC_95MQ7kNvwHw3bYE&_nc_oc=AdmpFUIfxQkP2eduhqtlt_75qAfvo317qjP2u1zj2-4dXO5GL2wpxQAyiDpmrnOVbk8&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=_ASt1za-WleVhyZm7U7E9Q&oh=00_AfYniCLYjBHLGRZk0x1HLm6PxmkukopX_6fHgbR81IoCUA&oe=68C592F4,120231642779250408,IMG,0,0,0,7,1,Clicky Images+Cost/Price+Cool,Clicky Images+here's what a bathroom remodel should cost you in 2025+Claim your FREE quote today!,Clicky Images+here's what a bathroom remodel should cost you in 2025,Cost/Price+here's what a bathroom remodel should cost you in 2025+Claim your FREE quote today!,Clicky Images+No Logo,1,0,0,0,High ROAS & High BAR,High ROAS & High BAR,Other,Other,Other
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:PersonShower,Clicky Images,walk-in shower prices are lower than you think,Cost/Price,Affordability,None,CLICK FOR PRICING »,Bottom Center,None,Relief/Comfort,No Logo,None,Mid,Cool,,,,,,15164,410,2166.48,55,28,1,1,1,20197,1558.39,0.7193188952,0.07715947913,3.571428571,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/528079935_767964092434727_2249752538162785587_n.png?stp=dst-jpg_tt6&_nc_cat=104&ccb=1-7&_nc_sid=890911&_nc_ohc=i3sQsacPv1wQ7kNvwGRbEVD&_nc_oc=AdmBpDr61iFOZRn4yQEI3rhCBmgG7QmIpRU1BnEWf_mpPV1EZzfGLm46dbJBmKDMdPM&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=bynu8cb65zu4ZkcEN-lsaQ&oh=00_AfeGjVlO1cMusFFo7N6rvg8pQOktwbvzyb5IibZqfklVKg&oe=68ED40F0,120231642778970408,IMG,0,0,0,13,1,Clicky Images+Cost/Price+Cool,Clicky Images+walk-in shower prices are lower than you think+CLICK FOR PRICING »,Clicky Images+walk-in shower prices are lower than you think,Cost/Price+walk-in shower prices are lower than you think+CLICK FOR PRICING »,Clicky Images+No Logo,1,0,0,0,High ROAS & High BAR,High ROAS & High BAR,Other,Other,Other
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:SqftShowerLargeV2,Clicky Images,here's what a bathroom remodel should cost you in 2025,Cost/Price,Affordability,None,Claim your FREE quote today!,Bottom Center,None,Curiosity/Exploratory,No Logo,None,High,Cool,,,,,,22523,751,3089.4,60,53,1,1,0,0,2354.19,0.7620217518,0,1.886792453,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/528195395_804316528768343_1876161745433064487_n.png?stp=dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=Cd01KgMcDsYQ7kNvwEuahqj&_nc_oc=Adkgoo8JYwu_8PoonAf9oQTFkf5w2qrsWyRXSTT4VTwN-jh90KjGcUarCvjgC3t5C6Y&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfftP4OlpUsOrpISZepcjtO8EYVVuR0ON763xTGWUOSsUg&oe=68ED22CE,120231642779040408,IMG,0,3,0,18,0,Clicky Images+Cost/Price+Cool,Clicky Images+here's what a bathroom remodel should cost you in 2025+Claim your FREE quote today!,Clicky Images+here's what a bathroom remodel should cost you in 2025,Cost/Price+here's what a bathroom remodel should cost you in 2025+Claim your FREE quote today!,Clicky Images+No Logo,0,1,0,0,High ROAS & Low BAR,Other,High ROAS & Low BAR,Other,Other
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:SqftShowerSmallV2,Clicky Images,here's what a bathroom remodel should cost you in 2025,Cost/Price,Affordability,None,Claim your FREE quote today!,Bottom Center,None,Curiosity/Exploratory,No Logo,None,High,Cool,,,,,,7908,138,726.83,6,4,0,0,0,0,155.48,0.2139152209,0,0,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/527749840_1897637847759819_5030801453615876264_n.png?stp=dst-jpg_tt6&_nc_cat=104&ccb=1-7&_nc_sid=890911&_nc_ohc=En5yzfFVyYsQ7kNvwFdqda3&_nc_oc=AdnlLyECM8KXOZTwPQOZHpd5s4-g_Cdp9h2Q0yOOCD7QxRynT1SotB4qTK8NNT_N_Y4&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfdyBqGz1-2u2h0EcpAoMftI_Amc33nXpc0thkZb4H8XUw&oe=68ED2551,120231642778790408,IMG,0,2,0,2,0,Clicky Images+Cost/Price+Cool,Clicky Images+here's what a bathroom remodel should cost you in 2025+Claim your FREE quote today!,Clicky Images+here's what a bathroom remodel should cost you in 2025,Cost/Price+here's what a bathroom remodel should cost you in 2025+Claim your FREE quote today!,Clicky Images+No Logo,0,0,0,1,Low ROAS & Low BAR,Other,Other,Other,Low ROAS & Low BAR
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:Affordability,Clicky Images,luxury bathroom at a price you can afford,Cost/Price,Affordability,None,Get a FREE Quote,Center Overlay,None,Relief/Comfort,No Logo,None,Mid,Cool,,,,,,25387,524,3166.68,36,27,5,2,1,8290,1212.38,0.3828552301,0.1462460796,18.51851852,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/528450638_1464909447847235_6617311047821997406_n.png?stp=dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=3-TRF-5pk-AQ7kNvwFTlnKV&_nc_oc=AdlNftng1ROpPdGGN8Y7idJ_1JFdC42SIBmDN47u9gkc9llsl3R6sO9qLkPJww_PQAM&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=hHGzIgNbkOfMiydr5_CC2Q&oh=00_AffAjUUfly90VpDT_Tc91HQbS0nt58FAkrh8xwKrU5ARcA&oe=68ED2513,120231642778890408,IMG,0,0,0,9,5,Clicky Images+Cost/Price+Cool,Clicky Images+luxury bathroom at a price you can afford+Get a FREE Quote,Clicky Images+luxury bathroom at a price you can afford,Cost/Price+luxury bathroom at a price you can afford+Get a FREE Quote,Clicky Images+No Logo,0,0,1,0,Low ROAS & High BAR,Other,Other,Low ROAS & High BAR,Other
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:OneDay,Clicky Images,transform your bathroom in as little as one day,InstalI Time,Quick Installation,None,Schedule a FREE Estimate,Center Overlay,None,Pride/Home Upgrade,No Logo,None,High,Warm,,,,,,7462,129,684.68,10,10,2,2,0,0,367.91,0.5373459134,0,20,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/528332123_1963776487754229_2774812860398287701_n.png?stp=dst-jpg_tt6&_nc_cat=102&ccb=1-7&_nc_sid=890911&_nc_ohc=rYhHR96LzLIQ7kNvwE7xP2N&_nc_oc=AdnqoGKhp5HVGbAILmPtNTgJbKeEYHrw41AVY8bhl4YHzatyWWYlbuiuFLrjlUaJ0vo&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfdeYhie0Rl7KsC3K8vhnF3FYxrGIYu953qUhteF8nh-vA&oe=68ED4775,120231642779050408,IMG,0,0,0,3,2,Clicky Images+InstalI Time+Warm,Clicky Images+transform your bathroom in as little as one day+Schedule a FREE Estimate,Clicky Images+transform your bathroom in as little as one day,InstalI Time+transform your bathroom in as little as one day+Schedule a FREE Estimate,Clicky Images+No Logo,1,0,0,0,High ROAS & High BAR,High ROAS & High BAR,Other,Other,Other
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:Upgrade,Clicky Images,upgrade your bathtub without the hassle,Outdated  ,Beauty/Modernization,None,Click for Pricing,Bottom Center,None,Relief/Comfort,No Logo,None,Low,Cool,,,,,,14168,422,2026.36,26,23,1,0,0,0,1093.34,0.5395586174,0,4.347826087,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/528871468_612732968242218_8074728513390258845_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=890911&_nc_ohc=nKxdrc1dkhEQ7kNvwHeRzbM&_nc_oc=AdlfnCMxRn15ervGjvQngQQNvhcD9sd3QgGzinrTeqUCmUCciRJO9tR9F_Z_OgHpxHY&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_Afd_-kNxQlDo_C49Goe1zsPtskyXzWhuK8Ojr8PdrjL23w&oe=68ED384E,120231642779230408,IMG,0,0,0,8,1,Clicky Images+Outdated  +Cool,Clicky Images+upgrade your bathtub without the hassle+Click for Pricing,Clicky Images+upgrade your bathtub without the hassle,Outdated  +upgrade your bathtub without the hassle+Click for Pricing,Clicky Images+No Logo,1,0,0,0,High ROAS & High BAR,High ROAS & High BAR,Other,Other,Other
Bath,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:OneDay,Clicky Images,transform your bathroom in as little as one day,InstalI Time,Quick Installation,None,Tap your state to learn more!,Center Overlay,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,,,,,,11222,265,1335.83,15,13,1,1,0,0,792.27,0.5930919354,0,7.692307692,https://scontent-ord5-1.xx.fbcdn.net/v/t45.1600-4/527864358_2204311126708971_7469436449182143231_n.png?stp=dst-jpg_tt6&_nc_cat=108&ccb=1-7&_nc_sid=890911&_nc_ohc=zQsSvNd4RQMQ7kNvwETwIJF&_nc_oc=AdmH4YAL7AgCQbcXNl_qWTYdQi4BBr6_OumbeUB7cY6_0CrLE9YAANG6hfxMqtDt4Tc&_nc_zt=1&_nc_ht=scontent-ord5-1.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfcDU0zU9Sexa9NVMnO_4Y6Sk6fxC-QleiLZdIBlsBaQgA&oe=68ED4AF5,120231642778940408,IMG,0,0,0,7,1,Clicky Images+InstalI Time+Cool,Clicky Images+transform your bathroom in as little as one day+Tap your state to learn more!,Clicky Images+transform your bathroom in as little as one day,InstalI Time+transform your bathroom in as little as one day+Tap your state to learn more!,Clicky Images+No Logo,1,0,0,0,High ROAS & High BAR,High ROAS & High BAR,Other,Other,Other
